,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
44,Gucci,Shoulder Bags,cotton/leather,orange,,Made in Italy,"Introduced for Cruise 2020, the Gucci Horsebit 1955 bag is recreated from an archival design. With the same lines and forms first introduced over six decades ago, this bag unifies the original details with a modern spirit, highlighting the Horsebit. Part of Gucci’s genetic code, the double ring and bar design has been established as one of the most distinctive elements among the House symbols borrowed from the equestrian world.","$2,760"
45,Jimmy Choo,Bucket Bags,crystal embellishment,silver-tone/ruby red,New Season,Made in Italy,,"$4,850"
46,Stella McCartney,Shoulder Bags,chain-link detailing,light blue,Conscious,Made in Italy,,$854
47,Jacquemus,Shoulder Bags,shearling,light blue,,,"Renowned for bold colourways and textures, Jacquemus includes a light blue iteration of the Le Bambidou shoulder bag in its AW22 edit. Covered with sheepskin shearling, this small accessory is elevated with a recognisable gold-tone logo plaque at the front.","$1,547"
48,,,,,,,,
49,,,,,,,,
50,Off-White,Tote Bags,leather,black/white,Exclusive,Made in Italy,"An ode to some of Off-White's most iconic motifs, this tote bag is made instantly recognisable through the impactful monochrome Diag-stripe print on the front. The roomy accessory features an optional detachable shoulder strap, with the brand's signature yellow Industrial strap.",$983
51,JW Anderson,Shoulder Bags,leather,blue/red,,,JW Anderson is never hesitant to present accessories that feel distinctly modern added with a playful twist. This Bumper slim shoulder bag is defined by its prominent red rounded edge providing a vibrant border to the baby blue body of the accessory.,$816
52,Gucci,Shoulder Bags,,,,,,"$2,155"
53,Jacquemus,Shoulder Bags,leather,white,,,French label Jacquemus is most notably known for presenting collections of bags that defy usual proportions and challenge the norm. A fine example is the signature Le Chiquito Noeud mini bag which is presented here in a clean white colourway to pay true to the label's love of muted and refined colourways.,$680
54,Patou,Shoulder Bags,calf leather,orange,New Season,,"Inspired by the initials of the founder of Patou, this leather bag is defined by its half-circle shape with a geometric cut-out design. Finished with gold-tone hardware, this accessory speaks to the refined aesthetic of the label.",$653
55,Nanushka,Tote Bags,faux leather,orange,,Made in Italy,,
56,,,,,,,,
57,Versace,Shoulder Bags,calf leather,black,New Season,Made in Italy,"Versace showcases its signature house logo in this shoulder bag, adorned with the iconic Medusa plaque for an instantly recognisable look. The all-over zip detailing embodies the brand's maximalist aesthetic.","$1,739"
58,JW Anderson,Shoulder Bags,lambskin/calfskin,acid green/yellow,,,,
59,The Attico,Tote Bags,,,,Made in Italy,"Showcasing an elongated triangle-style silhouette, The Attico's penchant for geometric shapes is displayed with the Sunday elongated leather tote bag.","$1,307"
60,Maison Margiela,Clutch Bags,leather,orange,,Made in Italy,,
61,Balenciaga,Mini Bags,,,Conscious,Made in Italy,"One of the house's most iconic silhouettes, the Le Cagole bag is reimagined for AW22 in a light pink iteration covered in glistening rhinestones for a textured and light-catching effect. Crafted from smooth calf leather in Italy, this small accessory can be worn across the body, on the shoulder or handheld thanks to its detachable strap.","$4,300"
62,Balenciaga,Tote Bags,leather,pink,Conscious,Made in Italy,"Defined by its curved base and structured silhouette, this Hourglass top-handle bag from Balenciaga is designed with a crocodile-embossed effect. A gold-tone 'B' logo completes the accessory.","$1,785"
63,Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,baby pink,,Made in Italy,"Gold-tone hardware defines this Dolce & Gabbana crossbody bag. The adjustable shoulder strap is detailed with gold-tone circular studs, whilst the front flap is elevated by a twist-lock fastening that's detailed with raised logo lettering for a signature touch.","$2,489"
64,Versace,Messenger & Crossbody Bags,calf leather,lilac purple,New Season,Made in Italy,"The Versace Greca Goddess crossbody bag is distinguished by the labyrinth-inspired Greca hardware that covers the front, utilising the brand's love for myth and symbolism.","$2,338"
65,,,,,,,,
66,,,,,,,,
67,Alexander McQueen,Tote Bags,calf leather,black,New Season,Made in Italy,,"$2,323"
68,Valentino Garavani,Shoulder Bags,all-over embroidery,electric purple,,Made in Italy,"Valentino Garavani's Locò bag honours the brand's iconic VLogo Signature. Updated in bright purple, this embellished iteration is accented with antiqued gold-tone hardware and a logo plaque.","$3,943"
69,Jacquemus,Tote Bags,calf leather,black,,,"Small things can cause great impact. Take this black calf suede Le Chiquito top-handle bag from Jacquemus for example. Small, but mighty.",$681
70,Goldbergh,Belt Bags,,,New Season,,,$219
71,Stella McCartney,Tote Bags,faux-leather,grey,Conscious,Made in Italy,"You wouldn't leave your house for the day without your mobile phone or keys, so why opt-out of carrying this fabulous bag? Step out with this glamorous grey Falabella fold over tote from Stella McCartney with a strong, sharp and confident attitude that adheres to an eco-friendly aesthetic.",$953
72,Alexander Wang,Mini Bags,crystal embellishments,black,,,"Looking to take it up a gear? Time to engage the clutch, specifically, this Wangloc clutch bag from Alexander Wang with its crystal embellishments and rectangular shape. No stalling here, just style.",$721
73,Jacquemus,Tote Bags,brown,calf suede,,,"Jacquemus updates its iconic Le Chiquito bag in a brown hue. Designed in a structured trapeze silhouette and a twisted top handle, this Neud style is simply adorned with the brand's gold-tone logo lettering to the front.",$821
74,Jacquemus,Tote Bags,,,,,"Jaquemus sticks with its joyful and optimistic approach to fashion for its AW21 collection and presents iterations of some of the brand's most popular mini bags in tune with the upcoming season. Boasting a refined gold-tone plaque at the front, Le Chiquito Long is an extended version of the original Chiquito and is crafted from smooth leather in Spain.",$636
75,Stella McCartney,Shoulder Bags,,,Conscious,Made in Italy,,$685
76,Stella McCartney,Messenger & Crossbody Bags,,,Conscious,,,$615
77,Jacquemus,Tote Bags,leather,bright-white,,Made in Italy,"Jacquemus heralded the mini bag trend back in AW17 and has since become a key player in the luxury leather goods sphere. This Le Bambino Long bag is the newest addition to the family, designed in sleek, smooth calf leather, featuring the signature gold-tone branded plaque.",$825
78,Dolce & Gabbana,Shoulder Bags,,,,,,"$1,493"
79,Stella McCartney,Tote Bags,faux-leather,black,Conscious,Made in Italy,"As always, Stella McCartney fashions contemporary offerings for the modern woman without eschewing the ethical ambitions that the brand was built on. A vision of smooth faux leather this Stella Logo tote bag features top handles, a detachable shoulder strap, a removable pouch and decorative perforations.",$773
80,Marc Jacobs,Shoulder Bags,gold-tone logo plaque,pink,New Season,,"Understated yet opulent, this shoulder bag from Jimmy Choo features the brand's logo plaque, which references the designer's initials, in gold-tone hardware. Paired with a debossed logo at the top, the accessory effortlessly ties in with current branding trends. ",$390
81,Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,,"$1,825"
82,Versace,Tote Bags,,,,Made in Italy,,"$1,095"
83,Vanina,Tote Bags,faux-pearl embellishment,white,New Season,,,$397
84,Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,,$474
85,Vivienne Westwood,Mini Bags,tartan check pattern,blue/multicolour,New Season,Made in Italy,,$403
86,KHAITE,Tote Bags,calf leather,black,New Season,Made in Italy,,"$2,373"
87,,,,,,,,
88,,,,,,,,
89,Jacquemus,Tote Bags,leather,white,,Made in Italy,"A larger iteration of one of their signature styles, Jacquemus' Le Grand Bambino amplifies the brand's penchant for minimal, structured handbags. Crafted from smooth leather with a flat top handle, the bag features a removable shoulder strap so it can be worn across the body. The instantly recognisable gold logo-plaque adorns the front. ",$752
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,FPM Milano,Luggage,,,,Made in Italy,"Packing? You should take FPM Milano with you. Constructed from nylon and boasting leather trims and a luggage tag, this black holdall bag will carry your essentials in style. Where are you heading?","$1,027"
95,Vanina,Shoulder Bags,sequin embellishment,pink,New Season,,,$410
96,See by Chloé,Messenger & Crossbody Bags,,,,,"Whether it's a beautiful day for a walk in the park or time to hit the city streets for a visit to your favourite patisserie, make sure you have a bag in tow with you. Sling this black Joan crossbody bag from See by Chloé on and get ready for whatever the day has in store for you.",$320
97,Vivienne Westwood,Bucket Bags,calf leather,multicolour,New Season,Made in Italy,,$451
98,Stella McCartney,Tote Bags,whipstitch detailing,black,New Season,Made in Italy,Stella McCartney's Falabella bag has been updated in several guises since its debut in 2010. This mini fold-over tote is crafted from black faux leather and is finished with signature whipstitched chain-link detailing in a polished silver-tone finish.,$848
99,,,,,,,,
100,,,,,,,,
101,Tory Burch,Tote Bags,satin weave,royal blue,New Season,,,$310
102,Wandler,Shoulder Bags,calf leather,beige,Conscious,Made in Italy,"Wandler updates its Georgia bag in an understated gingerbread beige hue. Free from decoration save from a miniature logo stamp, it speaks to the brand's understated aesthetic.",$875
103,,,,,,,,
104,Stella McCartney,Tote Bags,slouch body,black,Conscious,Made in Italy,Never feel guilty for treating yourself. Especially when it comes to Stella McCartney and this black large Falabella shoulder bag. Being green never felt (and looked) so good. ,$953
105,Jacquemus,Tote Bags,leather,black,,Made in Italy,"Jacquemus released Le Chiquito in 2019, a bag that took the mini purse trend to new heights and reached immediate cult status. Crafted from leather, this large 'Le Grand' size sees the designer defy the usual proportions of the bag and deliver a piece with a spacious interior.",$841
106,,,,,,,,
107,Tory Burch,Shoulder Bags,calf leather,brown,,,,$360
108,,,,,,,,
109,,,,,,,,
110,STAUD,Shoulder Bags,bead embellishment,black/grey,New Season,,"STAUD's attraction for retro silhouettes is showcased through the slim rectangular shape of this Tommy shoulder bag, reminiscent of 90s styles. This iteration of the label's signature bag is embellished with a beaded zebra pattern.",$260
111,,,,,,,,
112,,,,,,,,
113,,,,,Conscious,,,$99
114,,,,,Conscious,,,$99
115,Rains,Backpacks,faux leather,black,Conscious,,"A smaller iteration on Rains' signature backpack, this accessory was crafted from a water-resistant fabric with a matte finish. It epitomises the brand's ethos thanks to a minimal design that is combined with a construction with wet weather in mind.",$99
116,Tory Burch,Shoulder Bags,leather,black,,,,$506
117,,,,,,,,
118,Tory Burch,Shoulder Bags,calf leather,black,New Season,,,$365
119,,,,,,,,
120,Tory Burch,Shoulder Bags,leather ,black ,,,,$650
121,Lemaire,Mini Bags,calf leather,chocolate brown,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,Jacquemus,Tote Bags,leather,optic white,,Made in Italy,"Jacquemus' coveted Le Chiquito bag is reinterpreted into a larger size for SS22, showcased here. Crafted from smooth leather, this iteration is presented in a snow-white colourway elevating the timeless square silhouette.",$793
126,Jacquemus,Mini Bags,logo plaque,beige,New Season,Made in Italy,"Iconic in its simplicity and distinctive shape, this tote bag is given a raphia structured update. In traditional style, Jacquemus keeps the logo plaque at the front in gold-tone hardware.",$530
127,Valentino Garavani,Messenger & Crossbody Bags,leather,black ,,Made in Italy,"Need more proof that the best things in life come in the smallest of packages? This Rockstud crossbody bag from Valentino Garavani might just be what Shakespeare had in mind when he wrote: ""though she be but little, she is fierce."" It packs a punch - and your favourite lipstick. ","$1,526"
128,Tory Burch,Tote Bags,leather,taupe/brown,,,"For her AW21 collection, Tory Burch strips back elaborate monograms and focuses on what she calls 'the allure of simplicity' - a mood perfectly captured by this Perry tote bag. Boasting a minimalist grained leather construction, its triple-compartment design places emphasis on function first.",$398
129,Tory Burch,Shoulder Bags,,,,,Carrying the right weight on your shoulder? That will happen if this black and gold-tone raised logo leather shoulder bag from Tory Burch is involved. Check? Check.,$685
130,See by Chloé,Messenger & Crossbody Bags,leather,taupe-beige,,,"See by Chloé’s cross-body bag recalls a bohemian vibe that’s so ingrained in the French brand’s DNA, whilst still feeling sleek and modern. Perfectly sized to hold the essentials, it’s made from smooth leather and punctuated with a circular gold-tone top handle that looks like a piece of jewellery that can be worn as a handle.",$522
131,Tory Burch,Shoulder Bags,leather,black,,,"Crafted from smooth leather in a timeless black colourway, Tory Burch's iconic Kira bag is seen here in the small size. The piece is characterised by a chevron-quilted construction and the brand's signature Double T logo plaque in gold-tone hardware.",$749
132,Valentino Garavani,Shoulder Bags,calf leather,black,,Made in Italy,"Synonymous with bold branding, Valentino Garavani transfers its signature Rockstud detailing to this shoulder bag, offering an instantly recognisable touch to this leather construction. This is further elevated by a logo stamp to the rear for an additional branded touch.","$1,045"
133,Ferragamo,Clutch Bags,,,,Made in Italy,"Contrary to what you might think, there's a number of things that fit neatly into this Vara Bow mini bag from Ferragamo. Like your love for Monday mornings or even your interest in small talk. Your bag, your decision.",$899
134,Jacquemus,Mini Bags,calf leather,blue,New Season,Made in Italy,"Jacquemus' mini bag, adequately named 'Le Bambino', is presented in a crocodile-effect leather iteration for SS23. This compact piece is instantly recognisable thanks to its golden logo plaque on the front set against a sky-blue backdrop. ",$620
135,Jacquemus,Tote Bags,calf suede,beige,,Made in Italy,,$951
136,Tory Burch,Tote Bags,logo patch to the front,black,Conscious,,"Tory Burch's monogram was created in 2004 and has been the only logo used since. Inspired by a design from David Hicks; a Moroccan interior designer in the '70s, it is featured at the front of this tote bag in a large scale and tonal colourway, which adds to its sense of timelessness.",$315
137,Tory Burch,Messenger & Crossbody Bags,,,,,,$390
138,Jacquemus,Mini Bags,leather,dark yellow,New Season,Made in Italy,"Debuted in AW19, the Chiquito bag has become an iconic Jacquemus symbol. Seen here in an elongated version, the silhouette is presented in dark yellow leather and detailed with the usual gold-tone logo lettering.",$745
139,Tory Burch,Shoulder Bags,,,,,,$612
140,Tory Burch,Shoulder Bags,calf leather,black,,,"Tory Burch's versatile Eleanor bag that can be worn over the shoulder or across the body with its adjustable twisted rope chain strap, is instantly recognisable with its foldover design with signature gold-tone logo lettering to the front. This season it appears iterated in classic black for a timeless appeal. ",$830
141,Ferragamo,Tote Bags,leather,black,,Made in Italy,"A timeless design with clean lines, this tote bag is finished with a gold-tone twist-lock fastening with Ferragamo's Gancini plaque - an equestrian-inspired motif that nods to the roots of the house. It is crafted from grained leather, showcasing the brand's impeccable Italian craftsmanship.","$1,130"
142,Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,,$621
143,Balmain,Clutch Bags,cotton-eco linen blend,off-white/brown,New Season,,,$980
144,Dolce & Gabbana,Shoulder Bags,calf leather,black,,Made in Italy,"Part of the Devotion collection, Dolce & Gabbana presents a black quilted version of this medium iteration. Topped with the distinctive pearl-detailed love heart motif, it has a leopard-print lining - a brand signature.","$1,936"
145,Stella McCartney,Tote Bags,faux-leather,black,Conscious,Made in Italy,"A classic accessory since its inception in 2010, Stella McCartney's signature Falabella bag embodies the brand's sustainable ethos thanks to its faux-leather construction. As showcased by this iteration, it presents the chunky chain hardware in gold and silver for a sleek update.","$1,163"
146,Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,,"$1,493"
147,Comme Des Garçons Wallet,Clutch Bags,,,,,,$180
148,MM6 Maison Margiela,Tote Bags,calf leather/ramie,black,,,,$275
149,Perfect Moment,Belt Bags,quilted,black/white,New Season,,This Perfect Moment belt bag embodies the brand's practical spirit. The quilted accessory is equipped with an adjustable and detachable shoulder and waist strap for carrying options. The brand's star logo adorns its front for a signature finish.,$178
150,See by Chloé,Messenger & Crossbody Bags,,,,,,$410
151,Tory Burch,Clutch Bags,leather,black,,,"Known for using its serif T plaque as an identifier on each of its product, Tory Burch's Miller clutch bag is detailed with the gold-tone motif to the front. Crafted from black leather, the compact accessory is suspended from a slim, detachable shoulder strap.",$397
152,Tory Burch,Tote Bags,,,New Season,,,$520
153,DeMellier,Tote Bags,calf leather,black,New Season,,,$533
154,Balmain,Tote Bags,calfskin trim,jet black,New Season,Made in Italy,"Balmain's B-Buzz tote bag is back for the new season. This model features a spacious design, crafted from black calfskin, and is enhanced with a polished gold-tone logo plaque.","$1,715"
155,Tory Burch,Messenger & Crossbody Bags,calf leather,black,,,,$790
156,Tory Burch,Messenger & Crossbody Bags,calf leather,beige,,,,$569
157,Ferragamo,Backpacks,leather,black,,Made in Italy,"Crafted from leather to a tonal black hue, this Ferragamo backpack boasts a compact silhouette, whilst different style options are offered thanks to the piece's multi-way strap design.","$1,000"
158,Versace,Shoulder Bags,leather,black,,Made in Italy,"Inspired by Greek mythology, Versace's use of the Medusa head is now synonymous to the brand. Showcased at the front of this tote bag, it symbolises the brand's opulent style and the ancient figure's power, strength and beauty.","$2,095"
159,Tory Burch,Shoulder Bags,leather,light brown,,,,$775
160,Valentino Garavani,Messenger & Crossbody Bags,calf leather,nude pink ,,Made in Italy,Looks can be deceiving. This Rockstud crossbody bag from Valentino Garavani might look harmless but it will show its true colours if anyone who's not you gets too close for comfort. Watch out for those spikes when that happens.,"$1,720"
161,Isabel Marant,Messenger & Crossbody Bags,leather,black,,Made in Italy,"Crafted from soft leather in Italy, this black iteration of Isabel Marant's Oskan bag is given the brand's signature Western-inspired appeal thanks to gold-tone studded accents. Its adjustable strap allows it to be worn across the body or at the shoulder.",$910
162,Tory Burch,Tote Bags,calf leather,dark green,New Season,,,$255
163,Balmain,Messenger & Crossbody Bags,calf leather/cotton blend,black/ivory white,New Season,Made in Italy,"One of Balmain's most renowned silhouettes, the B-Buzz 23 bag is reimagined for SS23 in a canvas black and ivory iteration trimmed with smooth calf leather panels. Boasting a recognisable B logo plaque at the centre, this piece can be worn across the body, on the shoulder or handheld thanks to its adjustable strap.","$2,260"
164,Jacquemus,Tote Bags,faux-shearling design,beige,,,"Known to experiment with varying textures and silhouettes, Jacquemus does it again in this iteration of their signature Le Chiquito tote bag. Designed in a neutral beige tone, the versatile coiled top strap is paired with an equally curled faux-shearling construction for a unique, tactile completion. ",$750
165,Benedetta Bruzziches,Shoulder Bags,silk,multicolour,New Season,Made in Italy,,$889
166,Versace,Messenger & Crossbody Bags,leather,black,,Made in Italy,"Adding to the signature 'Virtus' line, the Italian fashion house presents this black shoulder bag. Quilted in a V-pattern, this accessory is punctuated by the central gold-tone metal Barocco letter V, embellished by acanthus leaves taken from Versace’s signature motif. ","$1,115"
167,MM6 Maison Margiela,Tote Bags,logo-debossed strap,black,New Season,,,$293
168,DeMellier,Tote Bags,calf leather,brown,New Season,,,$540
169,Jacquemus,Mini Bags,leather,black,,,"Jacquemus' mini bags have become iconic to the brand. Featuring a logo plaque at the front and a tonal colourway, this Pitchou Pouch bag carries the brand's signature sense of effortless sophistication. ",$250
170,Tory Burch,Messenger & Crossbody Bags,calf leather,black,,,"Tory Burch's Kira crossbody bag is defined by the Double T logo plaque, an instant signifier of the brand. Meanwhile, the quilted construction of the leather bag gives this design a modern finish.",$397
171,Tory Burch,Messenger & Crossbody Bags,embossed logo to the front,new cream,,,,$595
172,Tory Burch,Messenger & Crossbody Bags,,,,,,$415
173,Tory Burch,Shoulder Bags,,,,,,$515
174,Tory Burch,Messenger & Crossbody Bags,calf leather,black,New Season,,,$425
175,Tory Burch,Bucket Bags,calf leather,black,New Season,,"Crafted with a signature Tory Burch elegance, this bucket back is crafted from supple lambskin leather. It boasts a romantic stitched diamond pattern and is finished with the house's iconic Double T logo plaque in a gold-tone hue. ",$465
176,Wandler,Shoulder Bags,calf leather,shell beige,New Season,Made in Italy,,$710
177,Stella McCartney,Messenger & Crossbody Bags,faux leather,moss grey,Conscious,Made in Italy,"Elegantly crafted from faux leather, this camera bag showcases Stella McCartney’s continued innovation in design. Bearing the brand’s signature perforated Stella Logo, this spacious bag offers a practical solution for the everyday.",$659
178,Tory Burch,Messenger & Crossbody Bags,leather,black,,,Tory Burch's Kira bag is part of the beloved collection of the same name. This black-hued iteration is minimally detailed with the brand's Double T logo plaque at the centre.,$622
179,Tory Burch,Shoulder Bags,calf leather,sand beige,New Season,,It's the signature details that elevate Tory Burch's designs. This beige leather Fleming shoulder bag has an embossed finish and a logo embellishment for a recognisable look.,$780
180,Tory Burch,Shoulder Bags,lambskin,pebblestone brown,New Season,,"Part of Tory Burch's Fleming line, this shoulder bag is updated in pebblestone-brown leather decorated with a diamond-patterned pintuck outer. An oversized Double T adorns the flap closure of this accessory for a signature branded finish.",$620
181,Floyd,Luggage,aluminium,pacific blue,,,"You can start dreaming of your next getaway. Presented in a nature-inspired pacific blue hue, this aluminium hardshell cabin suitcase from Floyd makes a sturdy travel companion. The skies await.",$579
182,Valentino Garavani,Shoulder Bags,leather,white,,Made in Italy,"The difference between an ordinary look and a distinctive style statement? This Valentino Garavani bag, boasting a hobo design and a Vsling plaque to the front. Above average.","$1,211"
183,Tory Burch,Bucket Bags,calf leather,cream white,New Season,,,$515
184,Valentino Garavani,Messenger & Crossbody Bags,leather,black,,Made in Italy,Your outfit is almost complete. But you want some signature Rockstud detailing to finish it in style. That's where this Valentino Garavani bag comes in.,"$2,522"
185,Wandler,Shoulder Bags,calf leather,cognac brown,New Season,Made in Italy,,$650
186,Rains,Messenger & Crossbody Bags,waterproof,black,New Season,,,$109
187,Valentino Garavani,Bucket Bags,leather,black,,Made in Italy,"Valentino Garavani's bucket bag pays homage to the brand's signature VLogo plaque. Here, the gleaming gold-tone hardware pops against the smooth black leather construction.","$1,130"
188,Ferragamo,Clutch Bags,,,,Made in Italy,"Contrary to what you might think, there's a number of things that fit neatly into this Vara Bow mini bag from Ferragamo. Like your love for Monday mornings or even your interest in small talk. Your bag, your decision.",$899
189,Vanina,Mini Bags,glass,lilac,New Season,,,$506
190,PUBLISHED BY,Mini Bags,chrome,silver-tone,New Season,,,$308
191,BY FAR,Shoulder Bags,leather,black,,,"BY FAR's iconic bag has been shrunk this season to create the Baby Billy shoulder bag. Made from slick black leather, this accessory features two compartments and is decorated with silver-tone hardware.",$554
192,GANNI,Messenger & Crossbody Bags,recycled polyamide,black,New Season,,"Made from recycled polyamide as a nod to the brand's focus on sustainability, this black iteration of GANNI's Pillow bag is defined by its minimalist silhouette decorated with silver-tone hardware. With a logo plaque at the front, this accessor benefits from an adjustable strap that allows it to be worn in multiple ways.",$308
193,Tory Burch,Messenger & Crossbody Bags,matelassé effect,black,,,"Tory Burch's crossbody bag serves a masterclass in minimalist design. Crafted from matelassé leather, this black style is topped with a silver-tone monogram that matches the sliding chain shoulder strap. ",$625
194,ETRO,Tote Bags,cotton/leather,auburn brown,New Season,Made in Italy,,$530
195,See by Chloé,Shoulder Bags,goatskin,black,,,"Presented in a timeless black-hued colourway, the Saddie shoulder bag is ponctuated by gold-tone details. See by Chloé showcases the logo lettering and signature ring hardware for a recognisable look.",$425
196,Rains,Backpacks,waterproof,black,New Season,,"Rains' backpack has a flat profile that gives it a modern feel. Fastening with a secure buckle closure, it has a waterproof matte finish to keep out moisture.",$130
197,Tory Burch,Shoulder Bags,calf leather,black,,,,$620
198,Jil Sander,Shoulder Bags,leather,black,,Made in Italy,"An ode to Jil Sander's minimal design approach, this rectangle-shaped shoulder bag is simply decorated with the German brand's printed logo over the black leather construction.","$1,066"
